alpha,beta,run,aggregator,mean_utility,mean_fairness,mean_worst_group
0.0,0.0,0,multiplicative_weights,0.43788640349440494,0.9317423826742036,0.2918693963282598
0.0,0.0,0,majority_vote,0.43788640349440494,0.9317423826742036,0.2918693963282598
0.0,0.0,0,oracle,0.4405839957384201,0.9313355756754729,0.28934115704350977
0.0,0.0,1,multiplicative_weights,0.4255391992944209,0.9232483372355152,0.27595984019075886
0.0,0.0,1,majority_vote,0.4255391992944209,0.9232483372355152,0.27595984019075886
0.0,0.0,1,oracle,0.4229390365043005,0.9204806784420216,0.2751483674563121
0.0,0.25,0,multiplicative_weights,0.42061650402657863,0.9285576326322056,0.28406458397165946
0.0,0.25,0,majority_vote,0.4214623456703072,0.9292637899200673,0.28484968760095997
0.0,0.25,0,oracle,0.4282063797402572,0.926313829241638,0.2808696712848887
0.0,0.25,1,multiplicative_weights,0.40781624849446685,0.9158995614737648,0.256235959543346
0.0,0.25,1,majority_vote,0.4091374389684652,0.9157375050188485,0.2575840172016032
0.0,0.25,1,oracle,0.42863477766337543,0.9241890834914301,0.2778121433041175
0.0,0.5,0,multiplicative_weights,0.4234354552017526,0.9316783290892933,0.28306294991401787
0.0,0.5,0,majority_vote,0.4234354552017526,0.9316783290892933,0.28306294991401787
0.0,0.5,0,oracle,0.4191169833053786,0.9267863357970308,0.27513837940410185
0.0,0.5,1,multiplicative_weights,0.42739061894588454,0.925234639331303,0.2795847708126606
0.0,0.5,1,majority_vote,0.42739061894588454,0.925234639331303,0.2795847708126606
0.0,0.5,1,oracle,0.4214644330539881,0.9226684015191732,0.26849574526614667
0.0,0.75,0,multiplicative_weights,0.43389831604575824,0.917555029048036,0.27035445576721795
0.0,0.75,0,majority_vote,0.43389831604575824,0.917555029048036,0.27035445576721795
0.0,0.75,0,oracle,0.4369582197073844,0.9280868214596183,0.29137081629854644
0.0,0.75,1,multiplicative_weights,0.4262325931848133,0.9305404629680456,0.2816052182154246
0.0,0.75,1,majority_vote,0.4262325931848133,0.9305404629680456,0.2816052182154246
0.0,0.75,1,oracle,0.42493283698645823,0.9223908575856098,0.270396696744011
0.0,1.0,0,multiplicative_weights,0.4379603970458764,0.9278307752670814,0.28449619360987854
0.0,1.0,0,majority_vote,0.43247658633043146,0.9266508348154936,0.2797679403526122
0.0,1.0,0,oracle,0.4320030276746145,0.9224300414249632,0.2770450965745916
0.0,1.0,1,multiplicative_weights,0.42328059977009924,0.9417447352779191,0.2969717825904598
0.0,1.0,1,majority_vote,0.4256741799306143,0.9394243035117622,0.29465732772616515
0.0,1.0,1,oracle,0.42115947889787103,0.9320954099475163,0.2832228458127266
0.25,0.0,0,multiplicative_weights,0.4345846249047968,0.9185536867112546,0.27721505601965724
0.25,0.0,0,majority_vote,0.4366972113834719,0.9208811632497214,0.2829562514687333
0.25,0.0,0,oracle,0.4292944043911526,0.9241262102515346,0.27423771677083564
0.25,0.0,1,multiplicative_weights,0.41663693525808904,0.9216414523948707,0.2765980952369116
0.25,0.0,1,majority_vote,0.4157791168658515,0.9199021262647286,0.2731361310993848
0.25,0.0,1,oracle,0.42670918191155777,0.92306205782942,0.28170536338238533
0.25,0.25,0,multiplicative_weights,0.424747405872088,0.9152331497363698,0.2695412859513576
0.25,0.25,0,majority_vote,0.426735009045608,0.9170899207203419,0.27361245834640546
0.25,0.25,0,oracle,0.43669352215463264,0.9252863555334067,0.28330164021767457
0.25,0.25,1,multiplicative_weights,0.4167710115779567,0.9211787288676001,0.26560066213753225
0.25,0.25,1,majority_vote,0.4228981381515339,0.9268382636523697,0.27830583864293124
0.25,0.25,1,oracle,0.41913053450510446,0.9227477658327118,0.269329708920873
0.25,0.5,0,multiplicative_weights,0.4256758049631584,0.9186839842184042,0.27204990688117825
0.25,0.5,0,majority_vote,0.4189009480463633,0.916090988922532,0.2646754752647158
0.25,0.5,0,oracle,0.419678224857513,0.9167939142831394,0.2626387805143295
0.25,0.5,1,multiplicative_weights,0.42298305875287606,0.9223296967136496,0.26827335658855855
0.25,0.5,1,majority_vote,0.41830941965761237,0.9224726654945267,0.26684211168977356
0.25,0.5,1,oracle,0.42863979173137334,0.9306651897188621,0.28062703440285747
0.25,0.75,0,multiplicative_weights,0.40095173802017925,0.9257347982207237,0.27031266794732384
0.25,0.75,0,majority_vote,0.4098871776715521,0.9252776517540825,0.2772284767208621
0.25,0.75,0,oracle,0.4093311531797578,0.9274103908286798,0.2695932695450155
0.25,0.75,1,multiplicative_weights,0.4307003113542293,0.9249621277739637,0.2821159537066
0.25,0.75,1,majority_vote,0.42758251467309033,0.9262628510696049,0.28073477774732775
0.25,0.75,1,oracle,0.4301511446231833,0.9214297612966859,0.27233285281903824
0.25,1.0,0,multiplicative_weights,0.4254514083065655,0.9236278403396727,0.27640742013851677
0.25,1.0,0,majority_vote,0.41705372318589384,0.9269375950498122,0.27831404872236754
0.25,1.0,0,oracle,0.42522791887648564,0.9272135931763575,0.2801354963397625
0.25,1.0,1,multiplicative_weights,0.41816326547554994,0.9165914539809844,0.2611793347353248
0.25,1.0,1,majority_vote,0.4181840149012331,0.9158574078771692,0.2598551076900331
0.25,1.0,1,oracle,0.4238931837461335,0.9134617470353958,0.26041546420524025
0.5,0.0,0,multiplicative_weights,0.4061799993515802,0.9132408178230088,0.24264126868251742
0.5,0.0,0,majority_vote,0.4163915557283477,0.915142142821273,0.25142414069072205
0.5,0.0,0,oracle,0.4094990193436036,0.9247534655070404,0.2648079718116461
0.5,0.0,1,multiplicative_weights,0.3989593808174272,0.9182758204216969,0.25735689568460385
0.5,0.0,1,majority_vote,0.3989593808174272,0.9182758204216969,0.25735689568460385
0.5,0.0,1,oracle,0.4121100001841181,0.9142388345339566,0.2564699059720481
0.5,0.25,0,multiplicative_weights,0.4190416471345362,0.9090412467575303,0.25418821522057494
0.5,0.25,0,majority_vote,0.41514179310173,0.9129378219094836,0.25507535364414985
0.5,0.25,0,oracle,0.4081344178716296,0.9170399473311224,0.25723375404303883
0.5,0.25,1,multiplicative_weights,0.41205459453606036,0.9177578264215165,0.2646547768544384
0.5,0.25,1,majority_vote,0.40966254544211383,0.9171707616174964,0.2619057297995734
0.5,0.25,1,oracle,0.41997995876713784,0.9184522103948595,0.2668439606139542
0.5,0.5,0,multiplicative_weights,0.4040050331961575,0.9230469132383199,0.262675421803054
0.5,0.5,0,majority_vote,0.4073376581557801,0.917829817729566,0.26088860607053116
0.5,0.5,0,oracle,0.42612149551077844,0.9173598512650857,0.26766737834012233
0.5,0.5,1,multiplicative_weights,0.4099495711278461,0.922564613490987,0.2660603930402792
0.5,0.5,1,majority_vote,0.4096210873788783,0.9232186055806789,0.2668683463841264
0.5,0.5,1,oracle,0.42059366562648137,0.9280177599564167,0.2821796276996518
0.5,0.75,0,multiplicative_weights,0.41470556269506725,0.9302098169290659,0.280145949688315
0.5,0.75,0,majority_vote,0.41701821697460667,0.9269517692458317,0.2775958374784401
0.5,0.75,0,oracle,0.4268641655011923,0.9266766242566989,0.2854465506112852
0.5,0.75,1,multiplicative_weights,0.4282059834516932,0.9249806009226609,0.2781710875866054
0.5,0.75,1,majority_vote,0.4282059834516932,0.9249806009226609,0.2781710875866054
0.5,0.75,1,oracle,0.435077455814396,0.9225389872775963,0.2797853607049936
0.5,1.0,0,multiplicative_weights,0.3977736191607789,0.9192292709662653,0.2532777657447493
0.5,1.0,0,majority_vote,0.3988579797832221,0.9198454519755822,0.255149393891425
0.5,1.0,0,oracle,0.39858090112560773,0.9194784541949462,0.25639381411720374
0.5,1.0,1,multiplicative_weights,0.41466653750059596,0.9241799755014107,0.27245797790592385
0.5,1.0,1,majority_vote,0.4094116835946735,0.9246872231700051,0.26896177092502455
0.5,1.0,1,oracle,0.41809690327619903,0.9207654659965363,0.26737745807290386
0.75,0.0,0,multiplicative_weights,0.4206033032477165,0.9181391496971465,0.26831365077796254
0.75,0.0,0,majority_vote,0.4184994903260825,0.9190809289195312,0.26913703907046094
0.75,0.0,0,oracle,0.41852880598559067,0.9254600293739077,0.27418978730625976
0.75,0.0,1,multiplicative_weights,0.41280055112248687,0.9167357498771305,0.2577256841604301
0.75,0.0,1,majority_vote,0.4144009864008708,0.9143690767232097,0.25620914158767955
0.75,0.0,1,oracle,0.41860710669715523,0.9244786860197558,0.27315932794856457
0.75,0.25,0,multiplicative_weights,0.3939015513423459,0.9213447974972083,0.2548325627059266
0.75,0.25,0,majority_vote,0.3939015513423459,0.9213447974972083,0.2548325627059266
0.75,0.25,0,oracle,0.39796368215456684,0.9214404156017405,0.2576060902573261
0.75,0.25,1,multiplicative_weights,0.43375643251541246,0.9138563998227767,0.2671259096694918
0.75,0.25,1,majority_vote,0.43375643251541246,0.9138563998227767,0.2671259096694918
0.75,0.25,1,oracle,0.4311090402738432,0.9242417107524942,0.27746969149824013
0.75,0.5,0,multiplicative_weights,0.43265546382202374,0.9180903815565512,0.27165133628655175
0.75,0.5,0,majority_vote,0.4318580070598848,0.9175482325919917,0.2726662338994135
0.75,0.5,0,oracle,0.41815073507828926,0.9291878660591336,0.2784047370342158
0.75,0.5,1,multiplicative_weights,0.44805629012562825,0.9160339869470655,0.28450107131352226
0.75,0.5,1,majority_vote,0.4423174917978161,0.914599366247513,0.2795385832208163
0.75,0.5,1,oracle,0.4365136567605726,0.9200702473866303,0.27439510732109507
0.75,0.75,0,multiplicative_weights,0.4053792141595829,0.9342797639069725,0.27536263665647864
0.75,0.75,0,majority_vote,0.41346716334617134,0.9297187833950946,0.2746627324612464
0.75,0.75,0,oracle,0.412783392599451,0.927212059145861,0.2721806092629011
0.75,0.75,1,multiplicative_weights,0.42082177777140056,0.9157536396860015,0.26764994726652663
0.75,0.75,1,majority_vote,0.42351247714085816,0.9184789798123194,0.27242282535607537
0.75,0.75,1,oracle,0.42767862468701456,0.9124049965721432,0.2623514636403471
0.75,1.0,0,multiplicative_weights,0.4204717674459097,0.9079968434200395,0.2558548511049117
0.75,1.0,0,majority_vote,0.4231816036985251,0.9158520691917398,0.26348320658414487
0.75,1.0,0,oracle,0.4229545358915221,0.9230600272455298,0.2728068891868532
0.75,1.0,1,multiplicative_weights,0.4254715169219647,0.9240156340065785,0.27773298864565915
0.75,1.0,1,majority_vote,0.42605223458646696,0.9249915020599121,0.2803567167030903
0.75,1.0,1,oracle,0.4248463848731197,0.9311200723794908,0.2887941141679981
1.0,0.0,0,multiplicative_weights,0.4196346986903101,0.9222345773033769,0.2646071413065772
1.0,0.0,0,majority_vote,0.417472897069879,0.9222410373837147,0.2630202357297301
1.0,0.0,0,oracle,0.4155108947163471,0.9258877575862553,0.26925791838427743
1.0,0.0,1,multiplicative_weights,0.4264517030876069,0.9238651689063522,0.27536418400092333
1.0,0.0,1,majority_vote,0.42626659695162183,0.9221785080833814,0.2735913843591789
1.0,0.0,1,oracle,0.42846741670015565,0.9222047946868069,0.2732261665464338
1.0,0.25,0,multiplicative_weights,0.4845491875130329,0.9437296768217889,0.3473075044947658
1.0,0.25,0,majority_vote,0.48219629564881467,0.9452255610558644,0.34853982844852627
1.0,0.25,0,oracle,0.49552572214045754,0.9306525785258626,0.3336731379457692
1.0,0.25,1,multiplicative_weights,0.4737721164081977,0.9342073610846866,0.3215169570122767
1.0,0.25,1,majority_vote,0.4744413791060746,0.9334088403216786,0.32086113157583784
1.0,0.25,1,oracle,0.480297051628996,0.9290982583676685,0.3171390132336292
1.0,0.5,0,multiplicative_weights,0.43958467043674393,0.9266599618061188,0.28691526194792366
1.0,0.5,0,majority_vote,0.43958467043674393,0.9266599618061188,0.28691526194792366
1.0,0.5,0,oracle,0.4510131597161479,0.9157988629330879,0.2802428822999846
1.0,0.5,1,multiplicative_weights,0.4624918644903007,0.926886359402732,0.30446552831220425
1.0,0.5,1,majority_vote,0.46217503626277934,0.9240089583441247,0.3011227129305008
1.0,0.5,1,oracle,0.46984132885688035,0.9187167141679996,0.29531216103639585
1.0,0.75,0,multiplicative_weights,0.45013318913048017,0.9315964791358404,0.3102528583879684
1.0,0.75,0,majority_vote,0.4477759224235943,0.9358316201047092,0.3120036499283245
1.0,0.75,0,oracle,0.4714912860127192,0.9147438388536149,0.29838631234483093
1.0,0.75,1,multiplicative_weights,0.46053373508458073,0.9247173306903334,0.3053946297731586
1.0,0.75,1,majority_vote,0.46053373508458073,0.9247173306903334,0.3053946297731586
1.0,0.75,1,oracle,0.46488199590196133,0.9220286275332088,0.3002633854554958
1.0,1.0,0,multiplicative_weights,0.4451185723694676,0.9280369424537632,0.29190303017943425
1.0,1.0,0,majority_vote,0.443981596169509,0.9279606515897307,0.29144504050305287
1.0,1.0,0,oracle,0.45826096596575777,0.9070625335011743,0.27068583484835534
1.0,1.0,1,multiplicative_weights,0.477972213458954,0.9420553108369618,0.3400148272737217
1.0,1.0,1,majority_vote,0.47798256618732854,0.9408676763002811,0.3398669214841389
1.0,1.0,1,oracle,0.49496038243082513,0.9300080358446758,0.33238050541964376
